date,precio_btc,usd_invertido,equity_usd
2022-07-11,19970.556640625,50000.0,25265.619157423676
2022-07-12,19323.9140625,50000.0,24447.523527748253
2022-07-13,20212.07421875,50000.0,25571.17354223819
2022-07-14,20569.919921875,50000.0,26023.89969379096
2022-07-15,20836.328125,52000.0,28384.502711929432
2022-07-16,21190.31640625,52000.0,28866.726896001303
2022-07-17,20779.34375,52000.0,28306.87515984724
2022-07-18,22485.689453125,52000.0,30631.362178254698
2022-07-19,23389.43359375,52000.0,31862.496947133783
2022-07-20,23231.732421875,52000.0,31647.666900596472
2022-07-21,23164.62890625,52000.0,31556.254444917562
2022-07-22,22714.978515625,52000.0,30943.713566527287
2022-07-23,22465.478515625,52000.0,30603.829620366483
2022-07-24,22609.1640625,52000.0,30799.56673731297
2022-07-25,21361.701171875,52000.0,29100.197559137454
2022-07-26,21239.75390625,52000.0,28934.07363984228
2022-07-27,22930.548828125,52000.0,31237.37644623718
2022-07-28,23843.88671875,52000.0,32481.580399919792
2022-07-29,23804.6328125,52000.0,32428.10636160927
2022-07-30,23656.20703125,52000.0,32225.91181153612
2022-07-31,23336.896484375,52000.0,31790.927728479444
2022-08-01,23314.19921875,54000.0,33756.080108927825
2022-08-02,22978.1171875,54000.0,33269.474849034435
2022-08-03,22846.5078125,54000.0,33078.92073375463
2022-08-04,22630.95703125,54000.0,32766.829832791358
2022-08-05,23289.314453125,54000.0,33720.05004269876
2022-08-06,22961.279296875,54000.0,33245.095663651744
2022-08-07,23175.890625,54000.0,33555.82635255504
2022-08-08,23809.486328125,54000.0,34473.1946529065
2022-08-09,23164.318359375,54000.0,33539.071141629116
2022-08-10,23947.642578125,54000.0,34673.22783435064
2022-08-11,23957.529296875,54000.0,34687.54258164297
2022-08-12,24402.818359375,54000.0,35332.26613077053
2022-08-13,24424.068359375,54000.0,35363.033505432824
2022-08-14,24319.333984375,54000.0,35211.39106987299
2022-08-15,24136.97265625,56000.0,36930.455141008904
2022-08-16,23883.291015625,56000.0,36542.31290864932
2022-08-17,23335.998046875,56000.0,35704.9345547331
2022-08-18,23212.73828125,56000.0,35516.342583820515
2022-08-19,20877.552734375,56000.0,31943.422884528038
2022-08-20,21166.060546875,56000.0,32384.850439636237
2022-08-21,21534.12109375,56000.0,32947.99660171397
2022-08-22,21398.908203125,56000.0,32741.11591030217
2022-08-23,21528.087890625,56000.0,32938.7655792267
2022-08-24,21395.01953125,56000.0,32735.166099433878
2022-08-25,21600.904296875,56000.0,33050.17735662078
2022-08-26,20260.01953125,56000.0,30998.57439085474
2022-08-27,20041.73828125,56000.0,30664.59605703246
2022-08-28,19616.814453125,56000.0,30014.44698505045
2022-08-29,20297.994140625,56000.0,31056.676938676024
2022-08-30,19796.80859375,56000.0,30289.84463456781
2022-08-31,20049.763671875,56000.0,30676.87519960293
2022-09-01,20127.140625,58000.0,32800.90209139766
2022-09-02,19969.771484375,58000.0,32544.439940612243
2022-09-03,19832.087890625,58000.0,32320.059033143647
2022-09-04,19986.712890625,58000.0,32572.04909871623
2022-09-05,19812.37109375,58000.0,32287.92686216604
2022-09-06,18837.66796875,58000.0,30699.467658398524
2022-09-07,19290.32421875,58000.0,31437.15482489385
2022-09-08,19329.833984375,58000.0,31501.543303022234
2022-09-09,21381.15234375,58000.0,34844.54636131909
2022-09-10,21680.5390625,58000.0,35332.45244952845
2022-09-11,21769.255859375,58000.0,35477.03289552309
2022-09-12,22370.44921875,58000.0,36456.78878267399
2022-09-13,20296.70703125,58000.0,33077.241944783884
2022-09-14,20241.08984375,58000.0,32986.60344049876
2022-09-15,19701.2109375,60000.0,34051.36409520669
2022-09-16,19772.583984375,60000.0,34174.72451266707
2022-09-17,20127.576171875,60000.0,34788.28924560984
2022-09-18,19419.505859375,60000.0,33564.46802505476
2022-09-19,19544.12890625,60000.0,33779.86517791288
2022-09-20,18890.7890625,60000.0,32650.639519245837
2022-09-21,18547.400390625,60000.0,32057.130179678872
2022-09-22,19413.55078125,60000.0,33554.17533116437
2022-09-23,19297.638671875,60000.0,33353.83407032041
2022-09-24,18937.01171875,60000.0,32730.530268216015
2022-09-25,18802.09765625,60000.0,32497.346233065844
2022-09-26,19222.671875,60000.0,33224.26225346406
2022-09-27,19110.546875,60000.0,33030.46659230966
2022-09-28,19426.720703125,60000.0,33576.938084494286
2022-09-29,19573.05078125,60000.0,33829.85344000831
2022-09-30,19431.7890625,60000.0,33585.69818309894
2022-10-01,19312.095703125,62000.0,35364.58429164206
2022-10-02,19044.107421875,62000.0,34873.84033991732
2022-10-03,19623.580078125,62000.0,35934.97890880598
2022-10-04,20336.84375,62000.0,37241.11748816833
2022-10-05,20160.716796875,62000.0,36918.59130687921
2022-10-06,19955.443359375,62000.0,36542.69166890624
2022-10-07,19546.849609375,62000.0,35794.46898323599
2022-10-08,19416.568359375,62000.0,35555.89610548767
2022-10-09,19446.42578125,62000.0,35610.57144103185
2022-10-10,19141.484375,62000.0,35052.158401291425
2022-10-11,19051.41796875,62000.0,34887.22751731916
2022-10-12,19157.4453125,62000.0,35081.3862970242
2022-10-13,19382.904296875,62000.0,35494.24999549622
2022-10-14,19185.65625,62000.0,35133.04656696598
2022-10-15,19067.634765625,64000.0,36902.65579438614
2022-10-16,19268.09375,64000.0,37290.61523414942
2022-10-17,19550.7578125,64000.0,37837.67074114316
2022-10-18,19334.416015625,64000.0,37418.97240953835
2022-10-19,19139.53515625,64000.0,37041.80862583745
2022-10-20,19053.740234375,64000.0,36875.76493401223
2022-10-21,19172.46875,64000.0,37105.54684450836
2022-10-22,19208.189453125,64000.0,37174.67911121885
2022-10-23,19567.0078125,64000.0,37869.12027140896
2022-10-24,19345.572265625,64000.0,37440.56372166314
2022-10-25,20095.857421875,64000.0,38892.632381937976
2022-10-26,20770.44140625,64000.0,40198.19234707192
2022-10-27,20285.8359375,64000.0,39260.308386676465
2022-10-28,20595.3515625,64000.0,39859.33121844114
2022-10-29,20818.4765625,64000.0,40291.157460936956
2022-10-30,20635.603515625,64000.0,39937.23306570652
2022-10-31,20495.7734375,64000.0,39666.612125764266
2022-11-01,20485.2734375,66000.0,41643.35257195048
2022-11-02,20159.50390625,66000.0,40981.1141357181
2022-11-03,20209.98828125,66000.0,41083.74096342014
2022-11-04,21147.23046875,66000.0,42989.007543260916
2022-11-05,21282.69140625,66000.0,43264.37841381581
2022-11-06,20926.486328125,66000.0,42540.269277487445
2022-11-07,20602.81640625,66000.0,41882.29901828151
